M,cycle,state_name,district,dem_two_party_pct,party,candidate,uncontested,winner,WAR,WARP,chamber
0,2000,Alabama,1,0,REP,Sonny Callahan,1,TRUE,0.045635850000000006,0.04410000000000003,House
1,2002,Alabama,1,0.3844165162377782,DEM,Judy McCain Belk,0,FALSE,-0.0025852749999999997,-0.042899999999999994,House
1,2002,Alabama,1,0.3844165162377782,REP,Josiah Robins Bonner,0,TRUE,0.02144235,0.1329999999999999,House
2,2004,Alabama,1,0.36837709064528146,DEM,Judy McCain Belk,0,FALSE,-0.00241204,-0.0014,House
2,2004,Alabama,1,0.36837709064528146,REP,Josiah Robins Bonner,0,TRUE,0.0542081,0.029299999999999993,House
3,2006,Alabama,1,0.3184402042072486,DEM,Vivian Sheffield Beckerle,0,FALSE,-9.332184999999999e-4,-0.0087,House
3,2006,Alabama,1,0.3184402042072486,REP,Josiah Robins Bonner,0,TRUE,0.05463675,0.03080000000000005,House
4,2008,Alabama,1,0,REP,Josiah Robins Bonner,1,TRUE,0.051553650000000006,0.04679999999999995,House
5,2010,Alabama,1,0,REP,Josiah Robins Bonner,1,TRUE,0.04549965,8.000000000000229e-4,House
6,2012,Alabama,1,0,REP,Josiah Robins Bonner,1,TRUE,0.039730749999999995,0.007299999999999973,House
7,2014,Alabama,1,0.3175432134494462,DEM,Burton R. LeFlore,0,FALSE,-2.54761e-4,-0.0013,House
7,2014,Alabama,1,0.3175432134494462,REP,Bradley Byrne,0,TRUE,0.0227782,4.999999999999449e-4,House
8,2016,Alabama,1,0,REP,Bradley Byrne,1,TRUE,0.020478200000000002,3.9999999999995595e-4,House
9,2018,Alabama,1,0.3680120765176075,DEM,Robert Kennedy (AL),0,FALSE,-3.71478e-4,-0.0072,House
9,2018,Alabama,1,0.3680120765176075,REP,Bradley Byrne,0,TRUE,0.01127995,0.0019000000000000128,House
10,2020,Alabama,1,0.3557124346815746,DEM,James T. Averhart,0,FALSE,-9.595395e-4,-0.0036,House
10,2020,Alabama,1,0.3557124346815746,REP,Jerry Carl,0,TRUE,-0.00583522,0,House
11,2022,Alabama,1,0,REP,Jerry Carl,1,TRUE,-4.88905e-7,9.999999999998899e-5,House
12,2024,Alabama,1,0.215231165,DEM,Tom Holmes,0,FALSE,5.134315e-4,0,House
12,2024,Alabama,1,0.215231165,REP,Barry Moore,0,TRUE,0.01891145,0,House
13,2000,Alabama,2,0.29963835636658853,DEM,Charles Woods,0,FALSE,4.1727750000000003e-4,-1e-4,House
13,2000,Alabama,2,0.29963835636658853,REP,Terry Everett,0,TRUE,0.0663262,0.007299999999999973,House
14,2002,Alabama,2,0.30041466372179637,DEM,Charles Woods,0,FALSE,0.001337495,-0.0022,House
14,2002,Alabama,2,0.30041466372179637,REP,Terry Everett,0,TRUE,0.06462994999999999,0.05840000000000001,House
15,2004,Alabama,2,0.2849286083473317,DEM,Charles D James,0,FALSE,-0.0292128,-0.0019,House
15,2004,Alabama,2,0.2849286083473317,REP,Terry Everett,0,TRUE,0.0620674,0.011800000000000033,House
16,2006,Alabama,2,0.30461197636949516,DEM,Charles D James,0,FALSE,-0.029140600000000003,-0.0068,House
16,2006,Alabama,2,0.30461197636949516,REP,Terry Everett,0,TRUE,0.06352465,0.03310000000000002,House
17,2008,Alabama,2,0.5031190537592439,DEM,Bobby N. Bright,0,TRUE,0.032737249999999996,0.2574000000000001,House
17,2008,Alabama,2,0.5031190537592439,REP,Jay Love,0,FALSE,-0.00111224,-0.02429999999999999,House
18,2010,Alabama,2,0.48906228547892544,DEM,Bobby N. Bright,0,FALSE,0.0456528,0.0851,House
18,2010,Alabama,2,0.48906228547892544,REP,Martha Roby,0,TRUE,-0.047545950000000003,-0.0774999999999999,House
19,2012,Alabama,2,0.3634056323431436,DEM,Therese Ford,0,FALSE,-6.619865e-4,-0.0214,House
19,2012,Alabama,2,0.3634056323431436,REP,Martha Roby,0,TRUE,-0.022438649999999997,0.0015000000000000568,House
20,2014,Alabama,2,0.3259453499806311,DEM,Erick Wright,0,FALSE,5.94332e-4,-0.0082,House
20,2014,Alabama,2,0.3259453499806311,REP,Martha Roby,0,TRUE,-0.01913975,2.9999999999996696e-4,House
21,2016,Alabama,2,0.45384755542058913,DEM,William Mathis,0,FALSE,4.539785e-4,-0.0113,House
21,2016,Alabama,2,0.45384755542058913,REP,Martha Roby,0,TRUE,-0.0235733,3.9999999999995595e-4,House
22,2018,Alabama,2,0.3849740932642487,DEM,Tabitha Isner,0,FALSE,1.03399e-4,-0.045399999999999996,House
22,2018,Alabama,2,0.3849740932642487,REP,Martha Roby,0,TRUE,-0.034893099999999996,0.0010000000000000009,House
23,2020,Alabama,2,0.3471554526810032,DEM,Phyllis Harvey-Hall,0,FALSE,0.007151945,0,House
23,2020,Alabama,2,0.3471554526810032,REP,Barry Moore,0,TRUE,0.0167382,6.000000000000449e-4,House
24,2022,Alabama,2,0.2967862733662789,DEM,Phyllis Harvey-Hall,0,FALSE,0.005933515,0,House
24,2022,Alabama,2,0.2967862733662789,REP,Barry Moore,0,TRUE,0.021084850000000002,0,House
25,2024,Alabama,2,0.54599506,DEM,Shomari Figures,0,TRUE,-0.0142956,0.02169999999999994,House
25,2024,Alabama,2,0.54599506,REP,Caroleene Dobson,0,FALSE,-7.21746e-4,-0.14279999999999998,House
26,2000,Alabama,3,0,REP,Bob Riley,1,TRUE,0.042946700000000004,0.027699999999999947,House
27,2002,Alabama,3,0.48930652,DEM,Joe R. Turnham,0,FALSE,0.00113886,-0.0655,House
27,2002,Alabama,3,0.48930652,REP,Mike Rogers,0,TRUE,-0.001851125,0.026000000000000023,House
28,2004,Alabama,3,0.3877045076144612,DEM,William Fuller,0,FALSE,9.16817e-4,-0.0469,House
28,2004,Alabama,3,0.3877045076144612,REP,Mike Rogers,0,TRUE,0.0352595,0.10919999999999996,House
29,2006,Alabama,3,0.3927856330647155,DEM,Greg A. Pierce,0,FALSE,-1.551225e-4,-0.07339999999999999,House
29,2006,Alabama,3,0.3927856330647155,REP,Mike Rogers,0,TRUE,0.036479899999999996,0.17899999999999994,House
30,2008,Alabama,3,0.4590049585273022,DEM,Joshua Segall,0,FALSE,0.001652425,-0.09509999999999999,House
30,2008,Alabama,3,0.4590049585273022,REP,Mike Rogers,0,TRUE,0.03294065,0.23759999999999992,House
31,2010,Alabama,3,0.405193493,DEM,Stephen G. Segrest,0,FALSE,1.34981e-4,-0.0036,House
31,2010,Alabama,3,0.405193493,REP,Mike Rogers,0,TRUE,0.02668445,0.0034999999999999476,House
32,2012,Alabama,3,0.3589031878206746,DEM,John Andrew Harris,0,FALSE,0.001044245,-0.0042,House
32,2012,Alabama,3,0.3589031878206746,REP,Mike Rogers,0,TRUE,0.0173216,0.0021999999999999797,House
33,2014,Alabama,3,0.337754358,DEM,Jesse T. Smith,0,FALSE,-0.00175199,-5e-4,House
33,2014,Alabama,3,0.337754358,REP,Mike Rogers,0,TRUE,0.02275095,0.0048000000000000265,House
34,2016,Alabama,3,0.32976879318342733,DEM,Jesse T. Smith,0,FALSE,-0.001276755,0,House
34,2016,Alabama,3,0.32976879318342733,REP,Mike Rogers,0,TRUE,0.0176703,9.000000000000119e-4,House
35,2018,Alabama,3,0.3624172656903946,DEM,Mallory Hagan,0,FALSE,-4.98134e-4,-0.0059,House
