congress,bioname,state_abbrev,district_code,party,nominate_dim1,nominate_dim2
102,"DICKINSON, William Louis",AL,2,Republican,0.398,-0.057
102,"BEVILL, Tom",AL,4,Democrat,-0.213,0.976
102,"ERDREICH, Ben",AL,6,Democrat,-0.06,0.372
102,"CALLAHAN, Herbert Leon (Sonny)",AL,1,Republican,0.373,0.202
102,"HARRIS, Claude, Jr.",AL,7,Democrat,-0.085,0.593
102,"BROWDER, John Glen",AL,3,Democrat,-0.165,0.826
102,"CRAMER, Robert E. (Bud), Jr.",AL,5,Democrat,-0.132,0.612
102,"YOUNG, Donald Edwin",AK,1,Republican,0.283,0.022
102,"STUMP, Robert Lee",AZ,3,Republican,0.703,0.203
102,"KOLBE, James Thomas",AZ,5,Republican,0.351,-0.534
102,"KYL, Jon Llewellyn",AZ,4,Republican,0.548,-0.413
102,"RHODES, John Jacob, III",AZ,1,Republican,0.407,-0.249
102,"PASTOR, Ed",AZ,2,Democrat,-0.421,0.12
102,"HAMMERSCHMIDT, John Paul",AR,3,Republican,0.253,0.239
102,"ALEXANDER, William Vollie (Bill), Jr.",AR,1,Democrat,-0.41,0.819
102,"THORNTON, Raymond Hoyt (Ray), Jr.",AR,2,Democrat,-0.306,0.635
102,"ANTHONY, Beryl Franklin, Jr.",AR,4,Democrat,-0.254,0.484
102,"BROWN, George Edward, Jr.",CA,36,Democrat,-0.506,-0.028
102,"EDWARDS, William Donlon (Don)",CA,10,Democrat,-0.599,-0.419
102,"ROYBAL, Edward R.",CA,25,Democrat,-0.61,-0.141
102,"ANDERSON, Glenn Malcolm",CA,32,Democrat,-0.269,-0.052
102,"DELLUMS, Ronald V.",CA,8,Democrat,-0.644,-0.646
102,"MOORHEAD, Carlos John",CA,22,Republican,0.465,-0.119
102,"STARK, Fortney Hillman (Pete), Jr.",CA,9,Democrat,-0.631,-0.605
102,"LAGOMARSINO, Robert John",CA,19,Republican,0.378,-0.267
102,"MILLER, George",CA,7,Democrat,-0.552,-0.398
102,"MINETA, Norman Y.",CA,13,Democrat,-0.479,-0.01
102,"WAXMAN, Henry Arnold",CA,24,Democrat,-0.473,-0.343
102,"BEILENSON, Anthony Charles",CA,23,Democrat,-0.44,-0.605
102,"DORNAN, Robert Kenneth",CA,38,Republican,0.49,-0.111
102,"PANETTA, Leon Edward",CA,16,Democrat,-0.258,-0.186
102,"DANNEMEYER, William Edwin",CA,39,Republican,0.691,-0.24
102,"DIXON, Julian Carey",CA,28,Democrat,-0.458,-0.076
102,"FAZIO, Victor Herbert, Jr.",CA,4,Democrat,-0.455,0.36
102,"LEWIS, Charles Jeremy (Jerry)",CA,35,Republican,0.348,-0.101
102,"MATSUI, Robert T.",CA,3,Democrat,-0.404,-0.03
102,"THOMAS, William Marshall",CA,20,Republican,0.371,-0.277
102,"DREIER, David Timothy",CA,33,Republican,0.478,-0.084
102,"DYMALLY, Mervyn Malcolm",CA,31,Democrat,-0.685,-0.039
102,"HUNTER, Duncan Lee",CA,45,Republican,0.47,0.02
102,"LANTOS, Thomas Peter",CA,11,Democrat,-0.376,-0.033
102,"LOWERY, William David",CA,41,Republican,0.33,-0.254
102,"MARTÍNEZ, Matthew G.",CA,30,Democrat,-0.341,0.106
102,"BERMAN, Howard Lawrence",CA,26,Democrat,-0.404,-0.286
102,"BOXER, Barbara",CA,6,Democrat,-0.45,-0.423
102,"LEHMAN, Richard Henry",CA,18,Democrat,-0.27,-0.036
102,"LEVINE, Meldon Edises",CA,27,Democrat,-0.436,-0.24
102,"McCANDLESS, Alfred A.",CA,37,Republican,0.474,-0.225
