"month","day","lottery_number"
1,1,305
1,2,159
1,3,251
1,4,215
1,5,101
1,6,224
1,7,306
1,8,199
1,9,194
1,10,325
1,11,329
1,12,221
1,13,318
1,14,238
1,15,17
1,16,121
1,17,235
1,18,140
1,19,58
1,20,280
1,21,186
1,22,337
1,23,118
1,24,59
1,25,52
1,26,92
1,27,355
1,28,77
1,29,349
1,30,164
1,31,211
2,1,86
2,2,144
2,3,297
2,4,210
2,5,214
2,6,347
2,7,91
2,8,181
2,9,338
2,10,216
2,11,150
2,12,68
2,13,152
2,14,4
2,15,89
2,16,212
2,17,189
2,18,292
2,19,25
2,20,302
2,21,363
2,22,290
2,23,57
2,24,236
2,25,179
2,26,365
2,27,205
2,28,299
2,29,285
3,1,108
3,2,29
3,3,267
3,4,275
3,5,293
3,6,139
3,7,122
3,8,213
3,9,317
3,10,323
3,11,136
3,12,300
3,13,259
3,14,354
3,15,169
3,16,166
3,17,33
3,18,332
3,19,200
3,20,239
3,21,334
3,22,265
3,23,256
3,24,258
3,25,343
3,26,170
3,27,268
3,28,223
3,29,362
3,30,217
3,31,30
4,1,32
4,2,271
4,3,83
4,4,81
4,5,269
4,6,253
4,7,147
4,8,312
4,9,219
4,10,218
4,11,14
4,12,346
4,13,124
4,14,231
4,15,273
4,16,148
4,17,260
4,18,90
4,19,336
4,20,345
4,21,62
4,22,316
4,23,252
4,24,2
4,25,351
4,26,340
4,27,74
4,28,262
4,29,191
4,30,208
5,1,330
5,2,298
5,3,40
5,4,276
5,5,364
5,6,155
5,7,35
5,8,321
5,9,197
5,10,65
5,11,37
5,12,133
5,13,295
5,14,178
5,15,130
5,16,55
5,17,112
5,18,278
5,19,75
5,20,183
5,21,250
5,22,326
5,23,319
5,24,31
5,25,361
5,26,357
5,27,296
5,28,308
5,29,226
5,30,103
5,31,313
6,1,249
6,2,228
6,3,301
6,4,20
6,5,28
6,6,110
6,7,85
6,8,366
6,9,335
6,10,206
6,11,134
6,12,272
6,13,69
6,14,356
6,15,180
6,16,274
6,17,73
6,18,341
6,19,104
6,20,360
6,21,60
6,22,247
6,23,109
6,24,358
6,25,137
6,26,22
6,27,64
6,28,222
6,29,353
6,30,209
7,1,93
7,2,350
7,3,115
7,4,279
7,5,188
7,6,327
7,7,50
7,8,13
7,9,277
7,10,284
7,11,248
7,12,15
7,13,42
7,14,331
7,15,322
7,16,120
7,17,98
7,18,190
7,19,227
7,20,187
7,21,27
7,22,153
7,23,172
7,24,23
7,25,67
7,26,303
7,27,289
7,28,88
7,29,270
7,30,287
7,31,193
8,1,111
8,2,45
8,3,261
8,4,145
8,5,54
8,6,114
8,7,168
8,8,48
8,9,106
8,10,21
8,11,324
8,12,142
8,13,307
8,14,198
8,15,102
8,16,44
8,17,154
8,18,141
8,19,311
8,20,344
8,21,291
8,22,339
8,23,116
8,24,36
8,25,286
8,26,245
8,27,352
8,28,167
8,29,61
8,30,333
8,31,11
9,1,225
9,2,161
9,3,49
9,4,232
9,5,82
9,6,6
9,7,8
9,8,184
9,9,263
9,10,71
9,11,158
9,12,242
9,13,175
9,14,1
9,15,113
9,16,207
9,17,255
9,18,246
9,19,177
9,20,63
9,21,204
9,22,160
9,23,119
9,24,195
9,25,149
9,26,18
9,27,233
9,28,257
9,29,151
9,30,315
10,1,359
10,2,125
10,3,244
10,4,202
10,5,24
10,6,87
10,7,234
10,8,283
10,9,342
10,10,220
10,11,237
10,12,72
10,13,138
10,14,294
10,15,171
10,16,254
10,17,288
10,18,5
10,19,241
10,20,192
10,21,243
10,22,117
10,23,201
10,24,196
10,25,176
10,26,7
10,27,264
10,28,94
10,29,229
10,30,38
10,31,79
11,1,19
11,2,34
11,3,348
11,4,266
11,5,310
11,6,76
11,7,51
11,8,97
11,9,80
11,10,282
11,11,46
11,12,66
11,13,126
11,14,127
11,15,131
11,16,107
11,17,143
11,18,146
11,19,203
11,20,185
11,21,156
11,22,9
11,23,182
11,24,230
11,25,132
11,26,309
11,27,47
11,28,281
11,29,99
11,30,174
12,1,129
12,2,328
12,3,157
12,4,165
12,5,56
12,6,10
12,7,12
12,8,105
12,9,43
12,10,41
12,11,39
12,12,314
12,13,163
12,14,26
12,15,320
12,16,96
12,17,304
12,18,128
12,19,240
12,20,135
12,21,70
12,22,53
12,23,162
12,24,95
12,25,84
12,26,173
12,27,78
12,28,123
12,29,16
12,30,3
12,31,100
