record_identifier,system_status,max_wind_knots,min_pressure_mb,name,date,category,episode_id,total_property_damage_millions,total_injuries,total_fatalities
L,HU,90,974,BERTHA,1996-07-12,2,2054534,283.7186035031847,9.99999999999999,1
L,HU,100,954,FRAN,1996-09-05,3,2054647,402.793912492074,0,0
L,HU,65,989,DANNY,1997-07-18,1,2066248,119.79414900249401,0,1
L,HU,100,966,GEORGES,1998-09-21,3,2084790,3304.2367155963325,0,0
L,HU,105,930,FLOYD,1999-09-14,3,1087386,777.2074748033381,0,12.999999999999996
L,HU,65,987,IRENE,1999-10-15,1,2413684,96.3578405710885,0,0
L,HU,80,982,JOSE,1999-10-20,1,2413723,0.0377873884592505,0,0
L,HU,65,993,DEBBY,2000-08-22,1,1102750,0.9213613375796176,0,0
L,HU,90,957,ISABEL,2003-09-18,2,1163188,868.2178173960016,0,1.9999999999999998
L,HU,105,966,CHARLEY,2004-08-13,3,1178038,9102.716848837208,780,7
L,HU,65,991,CINDY,2005-07-05,1,1194847,77.40452796305797,0,0
L,HU,70,984,KATRINA,2005-08-25,1,1196431,161.9597144314125,0,6
L,HU,100,937,RITA,2005-09-24,3,1199827,4.712921780684102,0,0
L,HU,80,985,HUMBERTO,2007-09-13,1,10942,53.302636815681836,12,1
L,HU,75,967,DOLLY,2008-07-23,1,21694,562.7978060963586,4,0
L,HU,75,977,HANNA,2008-09-01,1,23381,979.463465782152,0,0.9999999999999989
L,HU,70,967,ISAAC,2012-08-28,1,67740,162.0912447981454,0,0
L,HU,85,974,ARTHUR,2014-07-03,2,87288,0.895982324061676,0,0
L,HU,115,937,HARVEY,2017-08-25,4,119859,5181.484850091565,14,0
L,HU,65,990,KATIA,2017-09-08,1,119520,9.021531032523791,0,0
L,HU,80,956,FLORENCE,2018-09-14,1,130719,1637.4976033182381,1,0
L,HU,140,919,MICHAEL,2018-10-10,5,130185,11119.84931084139,0,3
L,HU,65,993,BARRY,2019-07-13,1,140637,7.449582098654419,0,0
L,HU,80,973,HANNA,2020-07-25,1,150353,248.59756711773042,0,0
L,HU,100,950,IDALIA,2023-08-30,3,184689,38.90439115692929,0,0
L,HU,70,979,DEBBY,2024-08-05,1,193050,33.0209816286836,0,1
L,HU,90,972,FRANCINE,2024-09-11,2,196874,61.533179186345336,0,0
L,HU,120,939,HELENE,2024-09-26,4,195637,4277.161197836424,0,1
L,HU,100,958,MILTON,2024-10-09,3,197468,120.77537361676241,0,0
